Date,High,Low,Open,Close,Volume,Adj Close
2020-12-31,535.4000244140625,523.3300170898438,526.8699951171875,534.3800048828125,320900,534.3800048828125
2021-01-04,560.0,519.7000122070312,549.6099853515625,526.4600219726562,602400,526.4600219726562
2021-01-05,544.0700073242188,526.77001953125,526.969970703125,543.6500244140625,344800,543.6500244140625
2021-01-06,546.47998046875,531.4600219726562,534.3300170898438,540.3900146484375,429000,540.3900146484375
2021-01-07,561.3499755859375,544.27001953125,547.780029296875,558.3599853515625,513900,558.3599853515625
2021-01-08,579.5,559.0,561.6300048828125,570.530029296875,464200,570.530029296875
2021-01-11,566.0999755859375,551.8300170898438,565.010009765625,557.0399780273438,351800,557.0399780273438
2021-01-12,562.3900146484375,548.4099731445312,552.3400268554688,552.8800048828125,329000,552.8800048828125
2021-01-13,553.760009765625,543.9099731445312,551.260009765625,551.1400146484375,322000,551.1400146484375
2021-01-14,561.1199951171875,543.010009765625,546.510009765625,554.6400146484375,304700,554.6400146484375
2021-01-15,569.6599731445312,548.0,553.1900024414062,567.22998046875,551700,567.22998046875
2021-01-19,574.719970703125,545.0800170898438,574.719970703125,557.4099731445312,606900,557.4099731445312
2021-01-20,575.9199829101562,560.0700073242188,568.8400268554688,564.3699951171875,401800,564.3699951171875
2021-01-21,565.3200073242188,543.3200073242188,563.969970703125,543.8099975585938,402600,543.8099975585938
2021-01-22,546.8499755859375,531.1699829101562,546.8499755859375,534.0800170898438,690700,534.0800170898438
2021-01-25,540.739990234375,510.1099853515625,533.3900146484375,539.469970703125,568800,539.469970703125
2021-01-26,545.0,530.0599975585938,541.27001953125,535.0999755859375,469400,535.0999755859375
2021-01-27,527.6900024414062,507.7699890136719,519.3300170898438,509.6400146484375,859100,509.6400146484375
2021-01-28,547.5700073242188,509.3599853515625,509.3599853515625,536.5800170898438,681500,536.5800170898438
2021-01-29,530.5399780273438,517.5399780273438,525.1599731445312,525.3800048828125,686200,525.3800048828125
2021-02-01,544.75,527.02001953125,539.9299926757812,543.0499877929688,538500,543.0499877929688
2021-02-02,567.8300170898438,548.010009765625,551.780029296875,557.77001953125,790900,557.77001953125
2021-02-03,557.489990234375,541.1699829101562,557.489990234375,546.1799926757812,756300,546.1799926757812
2021-02-04,634.4600219726562,600.9500122070312,607.5,615.1599731445312,1758800,615.1599731445312
2021-02-05,624.5399780273438,614.010009765625,622.0900268554688,620.4500122070312,656500,620.4500122070312
2021-02-08,630.0399780273438,595.780029296875,622.1900024414062,602.4400024414062,618300,602.4400024414062
2021-02-09,618.8400268554688,601.3900146484375,601.3900146484375,615.0,426900,615.0
2021-02-10,618.0700073242188,598.2100219726562,618.0700073242188,605.780029296875,454100,605.780029296875
2021-02-11,611.77001953125,591.1500244140625,611.77001953125,599.0,469200,599.0
2021-02-12,609.989990234375,595.1599731445312,601.8599853515625,609.5800170898438,394900,609.5800170898438
2021-02-16,615.760009765625,604.0700073242188,612.6900024414062,614.2100219726562,404600,614.2100219726562
2021-02-17,611.9600219726562,589.0,603.6699829101562,599.530029296875,398300,599.530029296875
2021-02-18,600.0900268554688,584.5499877929688,596.0700073242188,594.989990234375,288100,594.989990234375
2021-02-19,601.9299926757812,593.1500244140625,595.9099731445312,599.25,372400,599.25
2021-02-22,596.8900146484375,578.1199951171875,590.3699951171875,579.5399780273438,616200,579.5399780273438
2021-02-23,572.6099853515625,552.9099731445312,563.280029296875,567.8099975585938,816200,567.8099975585938
2021-02-24,577.4400024414062,553.8499755859375,560.1300048828125,573.260009765625,647500,573.260009765625
2021-02-25,581.6699829101562,547.72998046875,578.8699951171875,556.1099853515625,810700,556.1099853515625
2021-02-26,574.97998046875,554.2000122070312,561.4600219726562,567.1099853515625,1105600,567.1099853515625
2021-03-01,577.7999877929688,557.7899780273438,567.5700073242188,565.1099853515625,1015900,565.1099853515625
2021-03-02,576.3499755859375,558.0,565.0,563.2100219726562,933300,563.2100219726562
