,0,1,2,3
199,SELL,37815,616658636912,14529811053827490
200,BUY,37815,609320374672,0
201,END,37815,609320374672,14529811053827490
202,SELL,37820,609320374672,23044496570095040
203,BUY,37810,993685824439,0
204,SELL,38265,993685824439,23496623620214785
205,BUY,38265,981870143004,0
206,END,38265,981870143004,23496623620214785
207,SELL,38270,981870143004,37576170372763080
208,BUY,38275,1595503191176,0
209,SELL,38735,1595503191176,38310101840704040
210,BUY,38745,1576148784159,0
211,END,38745,1576148784159,38310101840704040
212,SELL,38755,1576148784159,61083646130082045
213,BUY,38755,2564262327002,0
214,END,38755,2564262327002,61083646130082045
215,SELL,38760,2564262327002,99390807794597520
216,BUY,38765,4139343031421,0
217,END,38765,4139343031421,99390807794597520
218,SELL,38770,4139343031421,160482329328192170
219,BUY,38775,6701545851905,0
220,END,38775,6701545851905,160482329328192170
221,SELL,38780,6701545851905,259885948136875900
222,BUY,38780,10838957445483,0
223,END,38780,10838957445483,259885948136875900
224,SELL,38785,10838957445483,420388964523058155
225,BUY,38795,17533721301010,0
226,SELL,39265,17533721301010,428629813534532855
227,BUY,39255,17328256728384,0
228,END,39255,17328256728384,428629813534532855
229,SELL,39260,17328256728384,680307359156355840
230,BUY,39265,28240176528899,0
231,END,39265,28240176528899,680307359156355840
232,SELL,39275,28240176528899,1109132933172508225
233,BUY,39285,45543028905781,0
234,END,39285,45543028905781,1109132933172508225
235,SELL,39290,45543028905781,1789385605708135490
236,BUY,39280,73785407936255,0
237,SELL,39755,73785407936255,1824433674477856615
238,BUY,39760,72894638423946,0
239,END,39760,72894638423946,1824433674477856615
240,SELL,39765,72894638423946,2898655296928212690
241,BUY,39775,118736002469238,0
242,END,39775,118736002469238,2898655296928212690
243,SELL,39780,118736002469238,4723318178226287640
244,BUY,39780,191588230144348,0
245,SELL,40260,191588230144348,4815280528695574680
246,BUY,40265,189280511489933,0
247,END,40265,189280511489933,4815280528695574680
248,SELL,40270,189280511489933,7622326197699601910
249,BUY,40280,308755221545128,0
250,END,40280,308755221545128,7622326197699601910
251,SELL,40285,308755221545128,12438204099945481480
252,BUY,40280,497988741845515,0
253,END,40280,497988741845515,12438204099945481480
254,SELL,40285,497988741845515,20061476465246571775
