CD,NM,LAST_END_PRC,PRC_MEDIAN,LAST_PRC_AVG_5,LAST_PRC_AVG_10,LAST_VOL,VOL_MEDIAN,ROE,ROE_AVG,PER,PBR,PROFIT,FRGN_RT,END_PRC,VOL,REMAIN_DEAL
A011785,금호석유우,89400,84450,87240,85400,17743,14594,"[11.84, 20.18, 47.76]",26.59,"[8.81, 8.33, 2.83]","[0.82, 1.28, 0.92]","[3654, 7422, 24068]","[8.5, 8.64]","[88500, 89400]","[23438, 17743]","[828, 674]"
A108320,실리콘웍스,139000,122000,132280,126490,266413,195427,"[8.39, 14.44, 44.49]",22.44,"[16.8, 13.05, 9.18]","[1.37, 1.78, 3.4]","[473, 942, 3696]","[34.16, 34.3]","[138000, 139000]","[449164, 266413]","[-2704, -4148]"
A009180,한솔로지스틱스,3630,3492,3580,3512,202749,156867,"[11.43, 17.09, 35.28]",21.27,"[7.14, 7.32, 4.6]","[0.9, 1.16, 1.37]","[95, 131, 303]","[4.14, 4.33]","[3635, 3630]","[310356, 202749]","[-26722, 36855]"
A110790,크리스에프앤씨,44000,40000,41240,40450,65731,12375,"[11.77, 16.91, 24.99]",17.89,"[8.94, 7.86, 7.55]","[0.99, 1.17, 1.58]","[377, 498, 871]","[3.78, 3.81]","[42600, 44000]","[71908, 65731]","[-3181, 772]"
A214180,민앤지,18000,17500,17760,17585,39513,22381,"[14.79, 15.71, 15.9, 17.42]",15.96,"[16.33, 11.25, 11.62, 9.83]","[2.3, 1.57, 1.67, 1.59]","[260, 270, 282, 419]","[12.77, 12.77]","[17450, 18000]","[48941, 39513]","[10727, -4333]"
A095610,테스,27050,24650,26070,25220,219278,90751,"[4.56, 13.3, 27.84]",15.23,"[50.68, 19.53, 7.95]","[2.23, 2.37, 1.87]","[117, 317, 622]","[9.92, 10.02]","[26150, 27050]","[94254, 219278]","[-8687, -10859]"
