,0,1,2,3
254,BUY,42690,35,0
255,END,42690,35,18025
256,BUY,42650,35,0
257,END,42650,35,0
258,BUY,42680,35,0
259,END,42680,35,0
260,BUY,42705,35,0
261,END,42705,35,0
262,BUY,42730,35,0
263,END,42730,35,0
264,BUY,42695,35,0
265,END,42695,35,0
266,BUY,42720,35,0
267,END,42720,35,0
268,BUY,42745,35,0
269,END,42745,35,0
270,BUY,42710,35,0
271,SELL,43225,35,18025
272,BUY,43220,35,0
273,END,43220,35,18025
274,BUY,43185,35,0
275,END,43185,35,0
276,BUY,43210,35,0
277,SELL,43730,35,18200
278,BUY,43735,35,0
279,SELL,44265,35,36750
280,BUY,44255,34,0
281,END,44255,34,36750
282,BUY,44280,35,0
283,END,44280,35,0
284,BUY,44305,35,0
285,SELL,44840,35,18725
286,BUY,44830,35,0
287,END,44830,35,18725
288,BUY,44855,35,0
289,END,44855,35,0
290,BUY,44880,35,0
291,END,44880,35,0
292,BUY,44910,35,0
293,END,44910,35,0
294,BUY,44935,35,0
295,END,44935,35,0
296,BUY,44900,35,0
297,END,44900,35,0
298,BUY,44925,35,0
299,END,44925,35,0
300,BUY,44950,35,0
301,END,44950,35,0
302,BUY,44975,35,0
303,END,44975,35,0
304,BUY,45005,35,0
305,END,45005,35,0
306,BUY,45030,35,0
307,END,45030,35,0
308,BUY,44995,35,0
309,END,44995,35,0
310,BUY,45020,35,0
311,END,45020,35,0
312,BUY,45045,35,0
313,SELL,45590,35,19075
314,BUY,45585,35,0
315,END,45585,35,19075
316,BUY,45545,35,0
317,SELL,46095,35,19250
318,BUY,46095,35,0
319,END,46095,35,19250
320,BUY,46060,35,0
321,END,46060,35,0
322,BUY,46020,35,0
323,END,46020,35,0
324,BUY,46045,35,0
325,END,46045,35,0
326,BUY,46070,35,0
327,END,46070,35,0
328,BUY,46035,35,0
329,END,46035,35,0
330,BUY,46000,35,0
331,END,46000,35,0
332,BUY,45965,35,0
333,END,45965,35,0
334,BUY,45990,35,0
335,SELL,46545,35,19425
336,BUY,46550,35,0
337,END,46550,35,19425
338,BUY,46575,35,0
339,SELL,47135,35,19600
340,BUY,47130,35,0
341,END,47130,35,19600
342,BUY,47155,35,0
343,SELL,47725,35,19950
344,BUY,47725,35,0
345,END,47725,35,19950
346,BUY,47750,35,0
347,END,47750,35,0
348,BUY,47775,35,0
349,END,47775,35,0
350,BUY,47800,35,0
351,END,47800,35,0
352,BUY,47825,35,0
353,END,47825,35,0
354,BUY,47850,35,0
355,SELL,48425,35,20125
356,BUY,48420,35,0
357,END,48420,35,20125
358,BUY,48445,35,0
359,END,48445,35,0
360,BUY,48405,35,0
361,END,48405,35,0
362,BUY,48430,35,0
363,SELL,49020,35,20650
364,BUY,49015,35,0
365,END,49015,35,20650
366,BUY,48975,35,0
367,SELL,49565,35,20650
368,BUY,49565,35,0
369,END,49565,35,20650
370,BUY,49590,35,0
371,END,49590,35,0
372,BUY,49615,35,0
373,END,49615,35,0
374,BUY,49645,35,0
375,END,49645,35,0
376,BUY,49675,35,0
377,END,49675,35,0
378,BUY,49700,35,0
379,END,49700,35,0
380,BUY,49725,35,0
381,END,49725,35,0
382,BUY,49685,35,0
383,END,49685,35,0
384,BUY,49645,35,0
385,END,49645,35,0
386,BUY,49670,35,0
387,END,49670,35,0
388,BUY,49635,35,0
389,SELL,50240,35,21175
390,BUY,50240,35,0
391,END,50240,35,21175
392,BUY,50205,35,0
393,END,50205,35,0
394,BUY,50230,35,0
395,END,50230,35,0
396,BUY,50260,35,0
397,SELL,50865,35,21175
398,BUY,50865,35,0
399,END,50865,35,21175
400,BUY,50830,35,0
401,END,50830,35,0
402,BUY,50790,35,0
403,SELL,51405,35,21525
404,BUY,51395,35,0
405,END,51395,35,21525
406,BUY,51355,35,0
407,SELL,51980,35,21875
408,BUY,51985,35,0
409,END,51985,35,21875
410,BUY,52010,35,0
411,SELL,52640,35,22050
412,BUY,52635,35,0
413,END,52635,35,22050
414,BUY,52600,35,0
415,END,52600,35,0
416,BUY,52560,35,0
417,END,52560,35,0
418,BUY,52520,35,0
419,SELL,53155,35,22225
420,BUY,53155,35,0
421,END,53155,35,22225
422,BUY,53185,35,0
423,END,53185,35,0
424,BUY,53150,35,0
425,SELL,53790,35,22400
426,BUY,53790,35,0
427,END,53790,35,22400
428,BUY,53755,35,0
429,SELL,54410,35,22925
430,BUY,54405,35,0
431,END,54405,35,22925
432,BUY,54430,35,0
433,END,54430,35,0
434,BUY,54455,35,0
435,END,54455,35,0
436,BUY,54480,35,0
437,END,54480,35,0
438,BUY,54505,35,0
439,END,54505,35,0
440,BUY,54530,35,0
441,END,54530,35,0
442,BUY,54495,35,0
443,END,54495,35,0
444,BUY,54460,35,0
445,END,54460,35,0
446,BUY,54485,35,0
447,END,54485,35,0
448,BUY,54450,35,0
449,END,54450,35,0
450,BUY,54415,35,0
451,END,54415,35,0
452,BUY,54375,35,0
453,SELL,55030,35,22925
454,BUY,55030,35,0
455,END,55030,35,22925
456,BUY,54995,35,0
457,END,54995,35,0
458,BUY,54955,35,0
459,END,54955,35,0
460,BUY,54980,35,0
461,SELL,55640,35,23100
462,BUY,55645,35,0
463,END,55645,35,23100
464,BUY,55675,35,0
465,END,55675,35,0
466,BUY,55700,35,0
467,END,55700,35,0
468,BUY,55730,35,0
469,END,55730,35,0
470,BUY,55695,35,0
471,END,55695,35,0
472,BUY,55660,35,0
473,END,55660,35,0
474,BUY,55625,35,0
475,END,55625,35,0
476,BUY,55585,35,0
477,END,55585,35,0
478,BUY,55545,35,0
479,END,55545,35,0
480,BUY,55570,35,0
481,SELL,56240,35,23450
482,BUY,56245,35,0
483,END,56245,35,23450
484,BUY,56210,35,0
485,END,56210,35,0
486,BUY,56235,35,0
487,END,56235,35,0
488,BUY,56260,35,0
489,END,56260,35,0
490,BUY,56220,35,0
491,SELL,56895,35,23625
492,BUY,56885,35,0
493,END,56885,35,23625
494,BUY,56850,35,0
495,END,56850,35,0
496,BUY,56815,35,0
497,END,56815,35,0
498,BUY,56840,35,0
499,SELL,57530,35,24150
500,BUY,57535,35,0
501,END,57535,35,24150
502,BUY,57560,35,0
503,END,57560,35,0
504,BUY,57585,35,0
505,END,57585,35,0
506,BUY,57610,35,0
507,END,57610,35,0
508,BUY,57570,35,0
509,END,57570,35,0
510,BUY,57595,35,0
511,END,57595,35,0
512,BUY,57560,35,0
513,END,57560,35,0
514,BUY,57590,35,0
515,END,57590,35,0
516,BUY,57615,35,0
517,SELL,58315,35,24500
518,BUY,58305,35,0
519,END,58305,35,24500
520,BUY,58330,35,0
521,END,58330,35,0
522,BUY,58355,35,0
523,END,58355,35,0
524,BUY,58320,35,0
525,END,58320,35,0
526,BUY,58350,35,0
527,END,58350,35,0
528,BUY,58315,35,0
529,END,58315,35,0
530,BUY,58280,35,0
531,END,58280,35,0
532,BUY,58310,35,0
533,END,58310,35,0
534,BUY,58335,35,0
535,END,58335,35,0
536,BUY,58360,35,0
537,SELL,59070,35,24850
538,BUY,59060,35,0
539,END,59060,35,24850
540,BUY,59085,35,0
541,END,59085,35,0
542,BUY,59110,35,0
543,END,59110,35,0
544,BUY,59135,35,0
545,END,59135,35,0
546,BUY,59160,35,0
547,END,59160,35,0
548,BUY,59185,35,0
549,END,59185,35,0
550,BUY,59150,35,0
551,END,59150,35,0
552,BUY,59175,35,0
553,END,59175,35,0
554,BUY,59205,35,0
555,END,59205,35,0
556,BUY,59165,35,0
557,END,59165,35,0
558,BUY,59190,35,0
559,END,59190,35,0
560,BUY,59220,35,0
561,END,59220,35,0
562,BUY,59185,35,0
563,END,59185,35,0
564,BUY,59215,35,0
565,END,59215,35,0
566,BUY,59240,35,0
567,END,59240,35,0
568,BUY,59205,35,0
569,END,59205,35,0
570,BUY,59165,35,0
571,END,59165,35,0
572,BUY,59190,35,0
573,END,59190,35,0
574,BUY,59215,35,0
575,SELL,59930,35,25025
576,BUY,59930,35,0
577,END,59930,35,25025
578,BUY,59955,35,0
579,END,59955,35,0
580,BUY,59980,35,0
581,SELL,60700,35,25200
582,BUY,60705,35,0
583,END,60705,35,25200
584,BUY,60730,35,0
585,END,60730,35,0
586,BUY,60755,35,0
587,END,60755,35,0
588,BUY,60720,35,0
589,END,60720,35,0
590,BUY,60680,35,0
