jongmok,date,time,price,gap
A005930,20210402,1347,84500,1600
A005930,20210402,1346,84500,1600
A005930,20210402,1345,84500,1600
A005930,20210402,1344,84300,1400
A005930,20210402,1343,84400,1500
A005930,20210402,1342,84400,1500
A005930,20210402,1341,84500,1600
A122630,20210402,1340,27325,455
A122630,20210402,1339,27325,455
A122630,20210402,1338,27330,460
A122630,20210402,1337,27335,465
A122630,20210402,1336,27355,485
A122630,20210402,1335,27360,490
A122630,20210402,1334,27355,485
A122630,20210402,1333,27345,475
A122630,20210402,1332,27360,490
A122630,20210402,1331,27355,485
A005930,20210402,1340,84400,1500
A005930,20210402,1339,84400,1500
A005930,20210402,1338,84400,1500
A005930,20210402,1337,84400,1500
A005930,20210402,1336,84500,1600
A005930,20210402,1335,84400,1500
A005930,20210402,1334,84400,1500
A005930,20210402,1333,84400,1500
A005930,20210402,1332,84400,1500
A005930,20210402,1331,84500,1600
A122630,20210402,1330,27315,445
A122630,20210402,1329,27335,465
A122630,20210402,1328,27335,465
A122630,20210402,1327,27315,445
A122630,20210402,1326,27320,450
A122630,20210402,1325,27340,470
A122630,20210402,1324,27350,480
A122630,20210402,1323,27345,475
A122630,20210402,1322,27325,455
A122630,20210402,1321,27340,470
A005930,20210402,1330,84400,1500
A005930,20210402,1329,84400,1500
A005930,20210402,1328,84400,1500
A005930,20210402,1327,84500,1600
A005930,20210402,1326,84500,1600
A005930,20210402,1325,84500,1600
A005930,20210402,1324,84500,1600
A005930,20210402,1323,84500,1600
A005930,20210402,1322,84500,1600
A005930,20210402,1321,84500,1600
A122630,20210402,1320,27310,440
A122630,20210402,1319,27345,475
A122630,20210402,1318,27365,495
A122630,20210402,1317,27385,515
A122630,20210402,1316,27410,540
A122630,20210402,1315,27415,545
A122630,20210402,1314,27425,555
A122630,20210402,1313,27435,565
A122630,20210402,1312,27425,555
A122630,20210402,1311,27390,520
A005930,20210402,1320,84600,1700
A005930,20210402,1319,84600,1700
A005930,20210402,1318,84600,1700
A005930,20210402,1317,84700,1800
A005930,20210402,1316,84600,1700
A005930,20210402,1315,84600,1700
A005930,20210402,1314,84700,1800
A005930,20210402,1313,84600,1700
A005930,20210402,1312,84700,1800
A005930,20210402,1311,84600,1700
A122630,20210402,1310,27380,510
A122630,20210402,1309,27395,525
A122630,20210402,1308,27390,520
A122630,20210402,1307,27370,500
A122630,20210402,1306,27370,500
A122630,20210402,1305,27375,505
A122630,20210402,1304,27385,515
A122630,20210402,1303,27405,535
A122630,20210402,1302,27375,505
A122630,20210402,1301,27380,510
A005930,20210402,1310,84600,1700
A005930,20210402,1309,84700,1800
A005930,20210402,1308,84600,1700
A005930,20210402,1307,84700,1800
A005930,20210402,1306,84700,1800
A005930,20210402,1305,84700,1800
A005930,20210402,1304,84700,1800
