코드,종목명,거래량,종가,52주신고가,52주신저가,사분위75%,사분위50%,사분위25%,신고가대비_종가비율,신저가대비_종가비율,사분위75%대비_종가비율,사분위50%대비_종가비율,사분위50%대비_종가비율,종가_중간값,20일중간값_종가비율,20일사분위25%,20일사분위25%_종가비율,종가흐름,외국인지분율,외국인지분율조건,외국인지분율_중간값,20일중간값_외국인비율,외국인보유흐름,ROE조건,ROE(지배주주)_년도,ROE(지배주주)_분기,영업이익_증가,당기순이익_증가,PER_중간값,PER(배)_년도,PER(배)_분기,PBR_중간값,PBR(배)_년도,PBR(배)_분기,매출액_년도,매출액_분기,영업이익_년도,영업이익_분기,당기순이익_년도,당기순이익_분기,영업이익률_년도,영업이익률_분기,순이익률_년도,순이익률_분기,주당배당금(원)_년도,주당배당금(원)_분기,시가배당률(%)_년도,시가배당률(%)_분기,배당성향(%)_년도,배당성향(%)_분기,부채비율_년도,부채비율_분기,당좌비율_년도,당좌비율_분기,유보율_년도,유보율_분기,EPS(원)_년도,EPS(원)_분기,BPS(원)_년도,BPS(원)_분기
A950110,SBI핀테크솔루션즈,4210,5180,8880,4805,7861.25,6842.5,5823.75,58.33,107.8,65.89,88.95,88.95,5332,97.15,5040,102.78,"[5990.0, 5820.0, 5750.0, 5670.0, 5630.0, 5520.0, 5520.0, 5450.0, 5470.0, 5380.0, 5010.0, 4985.0, 4960.0, 4830.0, 4950.0, 5050.0, 5070.0, 5200.0, 5210.0, 5180.0]",80.14,T,80.08,100.07,"[80.06, 80.06, 80.06, 80.07, 80.07, 80.07, 80.07, 80.07, 80.07, 80.06, 80.08, 80.08, 80.08, 80.08, 80.08, 80.08, 80.14, 80.14, 80.14, 80.13]",T,"[30, 22, 17]","[28, 17, 17, 8]",F,F,28.0,"[33, 18, 28]","[15, 27, 27, 42]",4.0,"[7, 3, 4]","[3, 4, 4, 3]","[788, 898, 1014]","[268, 227, 239, 248, 225]","[141, 121, 151]","[89, -18, 25, 11]","[94, 93, 79]","[53, -21, 11, -3, -1]","[17, 13, 14]","[33, -7, 10, 4]","[11, 10, 7]","[19, -9, 4, -1]","[185, 195, 174]",[],"[1, 2, 1]",[],"[44, 48, 50]",[],"[696, 482, 709]","[922, 709, 837, 896]","[108, 121, 121]","[113, 121, 120, 117]","[190, 222, 232]","[244, 232, 212, 210]","[386, 377, 328]","[219, -86, 44, -11, -6]","[1642, 2013, 1991]","[2124, 1991, 1857, 1904, 1851]"
A013580,계룡건설,73809,31750,45000,29350,41087.5,37175.0,33262.5,70.56,108.18,77.27,95.45,95.45,33155,95.76,31925,99.45,"[36350.0, 36050.0, 34550.0, 35100.0, 34250.0, 33300.0, 34050.0, 33700.0, 33450.0, 32150.0, 31200.0, 31650.0, 31500.0, 31950.0, 32400.0, 31850.0, 32500.0, 32650.0, 32700.0, 31750.0]",22.96,T,23.67,97.0,"[24.39, 24.38, 24.25, 24.38, 24.32, 24.01, 24.0, 23.94, 23.96, 23.45, 23.56, 23.58, 23.48, 23.48, 23.31, 23.12, 23.07, 23.06, 22.97, 22.68]",T,"[16, 18, 24, 20]","[19, 22, 19, 24, 24]",F,F,1.5,"[2, 2, 1, 1]","[2, 2, 3, 1, 2]",0.0,"[0, 0, 0, 0]","[0, 0, 0, 0, 0]","[22757, 22000, 25618, 27460]","[4991, 6505, 5694, 8428, 6251]","[1359, 1748, 2327, 2480]","[335, 640, 395, 956, 335]","[746, 954, 1564, 1590]","[200, 469, 234, 661, 181]","[5, 7, 9, 9]","[6, 9, 6, 11, 5]","[3, 4, 6, 5]","[4, 7, 4, 7, 2]","[600, 600, 800, 600]",[],"[2, 2, 2]",[],"[7, 5, 4]",[],"[298, 241, 208]","[269, 255, 222, 208, 219]","[74, 89, 97]","[89, 90, 89, 97, 95]","[916, 1131, 1464]","[1165, 1270, 1322, 1464, 1489]","[8013, 10532, 17457, 17579]","[2278, 5268, 2593, 7318, 2067]","[51185, 62437, 78914, 96638]","[64066, 69377, 71865, 78914, 80155]"
A215000,골프존,14086,169500,193500,103500,171000.0,148500.0,126000.0,87.6,163.77,99.12,134.52,134.52,173795,97.53,169475,100.01,"[180500.0, 186300.0, 181100.0, 181000.0, 179000.0, 173300.0, 172500.0, 172400.0, 169100.0, 176300.0, 176600.0, 170800.0, 169400.0, 169200.0, 172100.0, 170200.0, 168000.0, 170200.0, 168400.0, 169500.0]",23.1,T,22.91,100.83,"[21.32, 22.24, 22.5, 22.85, 22.84, 22.85, 22.87, 22.88, 22.97, 23.25, 23.25, 23.15, 23.17, 23.11, 23.23, 23.17, 23.11, 23.12, 23.1, 23.16]",T,"[8, 18, 29, 33]","[22, 26, 31, 29, 34]",F,F,12.5,"[26, 11, 14, 9]","[11, 13, 11, 14, 10, 32]",2.0,"[2, 1, 3, 2]","[2, 3, 3, 3, 3]","[2470, 2985, 4403, 5664]","[994, 1058, 1231, 1121, 1539, 1340]","[323, 516, 1077, 1536]","[284, 300, 372, 120, 507, 393]","[162, 375, 764, 1111]","[213, 223, 290, 38, 380, 276]","[13, 17, 24, 27]","[28, 28, 30, 10, 32, 29]","[6, 12, 17, 19]","[21, 21, 23, 3, 24, 20]","[2050, 2500, 3500, 3984]",[],"[2, 3, 2]",[],"[79, 40, 28]",[],"[56, 62, 65]","[69, 62, 57, 65, 70]","[68, 60, 83]","[71, 80, 93, 83, 76]","[6247, 7054, 8987]","[7252, 7982, 8901, 8987, 9534]","[2584, 6098, 12161, 17619]","[3486, 3651, 4576, 448, 6237, 5243]","[31892, 35801, 45891, 59867]","[36855, 40583, 45404, 45891, 48776]"
A083450,GST,30490,28050,38600,23300,34775.0,30950.0,27125.0,72.67,120.39,80.66,103.41,103.41,28522,98.35,28025,100.09,"[31000.0, 30400.0, 29000.0, 29150.0, 29400.0, 29300.0, 28850.0, 28950.0, 28900.0, 28350.0, 27950.0, 28400.0, 28300.0, 27350.0, 26850.0, 26900.0, 27100.0, 28150.0, 28100.0, 28050.0]",7.68,T,8.55,89.82,"[9.26, 9.2, 9.14, 9.19, 9.17, 9.16, 9.23, 9.13, 9.02, 8.64, 8.44, 8.35, 8.23, 8.07, 8.02, 7.86, 7.76, 7.76, 7.68, 7.64]",T,"[19, 15, 29, 26]","[15, 19, 25, 29, 27]",F,F,7.0,"[5, 10, 9, 5]","[12, 11, 7, 9, 7, 26]",1.0,"[0, 1, 2, 1]","[1, 1, 1, 2, 1]","[1682, 1669, 3045, 3434]","[673, 774, 734, 865, 572, 805]","[219, 182, 464, 542]","[108, 128, 121, 107, 95, 125]","[180, 155, 390, 448]","[92, 107, 111, 79, 89]","[13, 10, 15, 15]","[16, 16, 16, 12, 16, 15]","[10, 9, 12, 13]","[13, 13, 15, 9, 15]","[200, 150, 300, 350]",[],"[1, 0, 0]",[],"[9, 8, 7]",[],"[32, 24, 36]","[36, 38, 37, 36, 33]","[216, 262, 211]","[211, 194, 208, 211, 217]","[2077, 2363, 3138]","[2532, 2758, 2987, 3138, 3273]","[1918, 1696, 4051, 4706]","[985, 1114, 1125, 827, 936, 1062]","[11164, 12522, 16558, 21170]","[13370, 14556, 15800, 16558, 17329]"
A011785,금호석유우,3695,97400,135000,78100,120775.0,106550.0,92325.0,72.15,124.71,80.65,105.5,105.5,96075,101.38,95375,102.12,"[96800.0, 95600.0, 94400.0, 94900.0, 95100.0, 94400.0, 95300.0, 96400.0, 97000.0, 96900.0, 96200.0, 96600.0, 96500.0, 95400.0, 95600.0, 95700.0, 96600.0, 97200.0, 97500.0, 97400.0]",7.24,T,7.22,100.28,"[7.41, 7.3, 7.19, 7.23, 7.24, 7.22, 7.25, 7.21, 7.2, 7.19, 7.18, 7.19, 7.2, 7.16, 7.17, 7.18, 7.21, 7.24, 7.24, 7.23]",T,"[11, 20, 47, 21]","[30, 40, 48, 47, 42]",F,F,6.0,"[8, 8, 2, 4]","[9, 5, 3, 2, 2, 20]",0.0,"[0, 1, 0, 0]","[2, 1, 1, 0, 0]","[49615, 48095, 84618, 84879]","[18545, 21991, 22363, 21720, 21991, 21436]","[3654, 7422, 24068, 14507]","[6125, 7537, 6253, 4153, 4491, 3483]","[2947, 5830, 19656, 11791]","[4756, 5831, 6046, 3023, 3733, 2676]","[7, 15, 28, 17]","[33, 34, 27, 19, 20, 16]","[5, 12, 23, 13]","[25, 26, 27, 13, 16, 12]","[1550, 4250, 10050, 8551]",[],"[4, 7, 9]",[],"[13, 19, 14]",[],"[72, 59, 59]","[60, 64, 59, 59, 61]","[62, 96, 112]","[119, 98, 103, 112, 112]","[1518, 1841, 2952]","[2057, 2396, 2753, 2952, 3012]","[8796, 17405, 58694, 35377]","[14199, 17408, 18053, 9031, 11202, 7819]","[94221, 112845, 181037, 219321]","[127104, 148546, 171820, 181037, 185725]"
A011780,금호석유,86597,160000,239000,140500,214375.0,189750.0,165125.0,66.95,113.88,74.64,96.9,96.9,152125,105.18,147875,108.2,"[158000.0, 149000.0, 145000.0, 147000.0, 147000.0, 145500.0, 148000.0, 147500.0, 148500.0, 151500.0, 149500.0, 153500.0, 155000.0, 152500.0, 154500.0, 154500.0, 157000.0, 159000.0, 160000.0, 160000.0]",19.93,T,19.72,101.06,"[19.93, 19.45, 19.4, 19.5, 19.51, 19.48, 19.52, 19.62, 19.7, 19.82, 19.82, 19.86, 19.81, 19.83, 19.83, 19.8, 19.87, 19.88, 19.93, 19.93]",T,"[11, 20, 47, 21]","[30, 40, 48, 47, 42]",F,F,6.0,"[8, 8, 2, 4]","[9, 5, 3, 2, 2, 20]",0.0,"[0, 1, 0, 0]","[2, 1, 1, 0, 0]","[49615, 48095, 84618, 84879]","[18545, 21991, 22363, 21720, 21991, 21436]","[3654, 7422, 24068, 14507]","[6125, 7537, 6253, 4153, 4491, 3483]","[2947, 5830, 19656, 11791]","[4756, 5831, 6046, 3023, 3733, 2676]","[7, 15, 28, 17]","[33, 34, 27, 19, 20, 16]","[5, 12, 23, 13]","[25, 26, 27, 13, 16, 12]","[1500, 4200, 10000, 8551]",[],"[1, 2, 6]",[],"[13, 19, 14]",[],"[72, 59, 59]","[60, 64, 59, 59, 61]","[62, 96, 112]","[119, 98, 103, 112, 112]","[1518, 1841, 2952]","[2057, 2396, 2753, 2952, 3012]","[8796, 17405, 58694, 35377]","[14199, 17408, 18053, 9031, 11202, 7819]","[94221, 112845, 181037, 219321]","[127104, 148546, 171820, 181037, 185725]"
A130580,나이스디앤비,1653,9050,11650,8490,10860.0,10070.0,9280.0,77.68,106.6,83.33,97.52,97.52,9067,99.81,8812,102.7,"[9700.0, 9500.0, 9470.0, 9440.0, 9370.0, 9300.0, 9290.0, 8930.0, 8520.0, 8610.0, 8600.0, 8760.0, 8830.0, 8830.0, 8720.0, 9120.0, 9080.0, 9170.0, 9050.0, 9050.0]",45.46,T,45.46,100.0,"[45.49, 45.46, 45.46, 45.46, 45.46, 45.46, 45.46, 45.47, 45.47, 45.47, 45.47, 45.46, 45.46, 45.46, 45.46, 45.47, 45.47, 45.46, 45.46, 45.46]",T,"[21, 18, 19]","[19, 18, 17, 19, 18]",F,F,12.0,"[12, 14, 11]","[13, 13, 13, 11, 12]",2.0,"[2, 2, 2]","[2, 2, 2, 2, 2]","[773, 822, 887]","[208, 276, 191, 212, 199]","[128, 141, 169]","[38, 83, 23, 26, 24]","[113, 113, 140]","[33, 67, 21, 19, 22]","[16, 17, 19]","[18, 29, 11, 12, 11]","[14, 13, 15]","[15, 24, 11, 8, 11]","[175, 200, 230]",[],"[2, 2, 2]",[],"[25, 28, 26]",[],"[30, 27, 30]","[26, 28, 27, 30, 27]","[310, 334, 343]","[360, 350, 390, 343, 384]","[633, 735, 865]","[736, 819, 844, 865, 845]","[686, 698, 863]","[204, 416, 122, 120, 130]","[3540, 4052, 4702]","[4056, 4471, 4594, 4702, 4603]"
A030190,NICE평가정보,51360,16450,26300,15900,23700.0,21100.0,18500.0,62.55,103.46,69.41,88.92,88.92,16857,97.59,16387,100.38,"[17650.0, 17600.0, 17800.0, 17350.0, 17550.0, 16450.0, 17550.0, 17250.0, 17000.0, 16850.0, 16000.0, 16350.0, 16700.0, 15950.0, 16150.0, 16400.0, 16300.0, 16950.0, 16850.0, 16450.0]",38.35,T,38.37,99.95,"[38.44, 38.49, 38.52, 38.46, 38.44, 38.39, 38.35, 38.32, 38.29, 38.3, 38.35, 38.33, 38.36, 38.36, 38.32, 38.35, 38.31, 38.36, 38.35, 38.33]",T,"[19, 19, 19, 18]","[20, 19, 19, 19, 19]",F,F,19.5,"[20, 31, 19, 16]","[30, 29, 23, 19, 21]",3.0,"[3, 5, 3, 3]","[5, 5, 4, 3, 3]","[4109, 4460, 4848, 5208]","[1172, 1222, 1124, 1330, 1215, 1330]","[513, 627, 726, 818]","[196, 206, 154, 170, 214, 228]","[408, 472, 547, 603]","[147, 159, 120, 121, 156, 175]","[12, 14, 14, 15]","[16, 16, 13, 12, 17, 17]","[9, 10, 11, 11]","[12, 13, 10, 9, 12, 13]","[230, 275, 330, 365]",[],"[1, 1, 1]",[],"[33, 34, 36]",[],"[42, 42, 44]","[43, 37, 35, 44, 44]","[207, 195, 192]","[186, 215, 231, 192, 187]","[676, 789, 924]","[783, 836, 875, 924, 910]","[672, 777, 901, 993]","[242, 262, 198, 199, 256]","[3750, 4329, 5044, 5614]","[4312, 4584, 4791, 5044, 4980]"
A092730,네오팜,5801,23150,37750,22250,33875.0,30000.0,26125.0,61.32,104.04,68.34,88.61,88.61,23660,97.84,23225,99.68,"[25750.0, 25500.0, 24350.0, 24250.0, 24050.0, 23350.0, 23450.0, 23700.0, 23600.0, 23550.0, 23400.0, 23350.0, 23300.0, 23000.0, 23000.0, 22950.0, 22950.0, 23250.0, 23300.0, 23150.0]",11.36,T,11.43,99.39,"[11.59, 11.5, 11.42, 11.43, 11.37, 11.48, 11.5, 11.5, 11.49, 11.47, 11.44, 11.42, 11.41, 11.39, 11.39, 11.37, 11.37, 11.39, 11.36, 11.35]",T,"[23, 16, 14]","[16, 15, 15, 14, 13]",F,F,12.0,"[19, 12, 11]","[14, 15, 12, 11, 12]",1.0,"[3, 1, 1]","[2, 2, 1, 1, 1]","[832, 816, 879]","[230, 214, 194, 242, 223]","[230, 219, 224]","[67, 61, 35, 62, 63]","[192, 181, 177]","[57, 41, 31, 47, 49]","[27, 26, 25]","[29, 28, 17, 25, 28]","[23, 22, 20]","[24, 19, 15, 19, 22]","[750, 650, 700]",[],"[1, 2, 2]",[],"[30, 28, 30]",[],"[16, 12, 10]","[19, 13, 12, 10, 14]","[746, 702, 877]","[503, 675, 731, 877, 620]","[2539, 2832, 3156]","[2852, 2952, 3040, 3156, 3145]","[2438, 2209, 2158]","[698, 504, 378, 578, 600]","[13515, 15052, 16662]","[15157, 15673, 16058, 16662, 16592]"
A348210,넥스틴,36268,70200,76500,43100,68150.0,59800.0,51450.0,91.76,162.88,103.01,136.44,136.44,68275,102.82,67300,104.31,"[70300.0, 70100.0, 67400.0, 67800.0, 68900.0, 66400.0, 67500.0, 68400.0, 70000.0, 68700.0, 68700.0, 68400.0, 68400.0, 66500.0, 67000.0, 66300.0, 67000.0, 67400.0, 70100.0, 70200.0]",15.06,T,14.87,101.28,"[14.74, 14.72, 14.77, 14.84, 14.86, 14.83, 14.82, 14.8, 14.84, 14.8, 14.85, 14.83, 14.84, 14.8, 14.92, 14.95, 14.95, 14.96, 15.06, 15.13]",T,"[32, 46]","[66, 41, 34, 36]",F,F,24.0,"[31, 17]","[34, 28, 24, 30, 30]",7.0,"[8, 6]","[14, 11, 8, 8, 9]","[94, 494, 571, 1060]","[102, 183, 151, 136, 163]","[-18, 181, 221, 480]","[26, 73, 71, 51, 64]","[-26, 147, 181, 380]","[32, 57, 60, 42, 54]","[38, 45]","[25, 40, 46, 37, 39]","[31, 35]","[31, 31, 39, 30, 33]","[500, 500]",[],[0],[],[26],[],[15],"[13, 20, 17, 15, 23]",[308],"[408, 363, 431, 308, 254]",[1245],"[931, 1045, 1171, 1245, 1257]","[-360, 1733, 1887, 3925]","[336, 595, 631, 433, 561]","[196, 4841, 6778, 10225]","[5191, 5770, 6396, 6778, 6854]"
A278650,노터스,29331,13000,13000,2485,10371.25,7742.5,5113.75,100.0,523.14,125.35,254.22,254.22,61750,21.05,48787,26.65,"[39750.0, 39300.0, 49100.0, 47850.0, 58700.0, 59700.0, 63000.0, 65600.0, 70500.0, 91600.0, 91600.0, 84000.0, 79900.0, 74700.0, 73700.0, 81300.0, 72200.0, 69500.0, 10000.0, 13000.0]",5.17,T,2.03,254.68,"[1.51, 1.11, 0.69, 0.52, 1.34, 0.71, 0.72, 0.63, 0.7, 0.82, 0.66, 1.05, 2.52, 3.03, 3.21, 3.77, 2.09, 5.19, 5.17, 5.16]",T,"[17, 16, 16]","[17, 16, 15, 16, 13]",F,F,22.0,"[22, 22, 63]","[23, 24, 25, 22, 29]",31.0,"[32, 31, 9]","[3, 3, 3, 3, 3]","[460, 585, 644, 766]","[146, 146, 154, 198, 179]","[67, 88, 98, 141]","[26, 18, 15, 34, 22]","[46, 86, 103, 116]","[21, 21, 16, 46, 11]","[15, 15, 18]","[17, 12, 9, 16, 12]","[14, 16, 15]","[14, 14, 10, 23, 5]","[17, 22, 22]",[],"[0, 0]",[],"[13, 15]",[],"[34, 43]","[34, 32, 35, 43, 148]","[142, 121]","[113, 92, 123, 121, 239]","[6981, 8221]","[7103, 7369, 7703, 8221, 8958]","[72, 123, 143, 157]","[30, 30, 21, 62, 14]","[634, 783, 920, 1052]","[795, 830, 880, 920, 996]"
A119860,다나와,18665,19350,41550,18050,35675.0,29800.0,23925.0,46.57,107.2,54.24,80.88,80.88,19222,100.67,18787,103.0,"[20300.0, 20000.0, 19900.0, 19650.0, 19200.0, 18100.0, 18800.0, 18750.0, 18700.0, 19100.0, 18300.0, 19200.0, 19300.0, 18700.0, 19500.0, 19100.0, 19100.0, 19700.0, 19700.0, 19350.0]",10.07,T,10.17,99.02,"[10.08, 10.02, 10.01, 10.13, 10.15, 10.1, 10.19, 10.23, 10.2, 10.26, 10.26, 10.24, 10.31, 10.3, 10.49, 10.13, 10.05, 10.07, 10.07, 10.06]",T,"[23, 25, 19, 20]","[25, 23, 22, 19, 22]",F,F,12.0,"[13, 13, 11, 7]","[13, 12, 13, 11, 9]",2.0,"[2, 2, 2, 1]","[3, 2, 2, 2, 1]","[1713, 2320, 1910, 1610]","[505, 440, 513, 451, 437, 372]","[284, 378, 349, 339]","[93, 80, 87, 90, 61, 88]","[236, 309, 290, 360]","[77, 66, 73, 74, 125]","[16, 16, 18, 21]","[18, 18, 16, 19, 13, 23]","[13, 13, 15, 22]","[15, 14, 14, 16, 28]","[400, 600, 400]",[],"[1, 1]",[],"[21, 25]",[],"[40, 19, 12]","[20, 14, 12, 12, 9]","[267, 428, 713]","[399, 621, 744, 713, 1046]","[1600, 2012, 2339]","[2010, 2111, 2222, 2339, 2529]","[1804, 2366, 2216, 2753]","[586, 504, 558, 568, 954]","[8461, 10554, 12201, 14884]","[10544, 11050, 11614, 12201, 13160]"
A064260,다날,740240,9400,18850,5430,15495.0,12140.0,8785.0,49.87,173.11,60.66,107.0,107.0,8931,105.25,8772,107.16,"[9240.0, 9160.0, 8850.0, 8820.0, 8910.0, 8440.0, 8580.0, 8750.0, 8780.0, 8680.0, 8450.0, 8850.0, 9000.0, 8880.0, 8920.0, 9080.0, 9110.0, 9300.0, 9430.0, 9400.0]",8.08,T,7.22,111.91,"[6.0, 6.11, 6.32, 6.61, 6.77, 7.02, 7.25, 7.44, 7.25, 7.08, 7.27, 7.74, 7.82, 7.72, 7.58, 7.12, 7.29, 7.61, 8.08, 8.33]",T,[19],"[17, 15, 14, 19, 10]",F,F,18.0,[18],"[15, 11, 9, 18, 26]",2.0,[2],"[2, 1, 1, 2, 2]","[1912, 2294, 2856, 3152]","[661, 679, 685, 831, 714]","[109, 150, 160, 237]","[22, 29, 17, 92, -4]","[228, 124, 663, 207]","[270, 82, 44, 267, -71]",[5],"[3, 4, 2, 11, 0]",[23],"[40, 12, 6, 32, -10]",[],[],[],[],[],[],[123],"[148, 138, 128, 123, 120]",[301],"[140, 140, 284, 301, 313]",[844],"[738, 762, 776, 844, 824]","[418, 255, 817, 255]","[296, 115, 69, 336, -54]","[3282, 3477, 5075, 5339]","[3812, 3952, 4734, 5075, 4969]"
A023590,다우기술,19784,20500,29700,19200,27075.0,24450.0,21825.0,69.02,106.77,75.72,93.93,93.93,20167,101.65,19837,103.34,"[20950.0, 20750.0, 20500.0, 20350.0, 20200.0, 19700.0, 19900.0, 20050.0, 20050.0, 19950.0, 19700.0, 19800.0, 19850.0, 19750.0, 19750.0, 20350.0, 20350.0, 20400.0, 20500.0, 20500.0]",21.69,T,21.77,99.63,"[21.92, 21.93, 21.93, 21.91, 21.88, 21.8, 21.77, 21.76, 21.74, 21.72, 21.7, 21.7, 21.7, 21.7, 21.7, 21.69, 21.7, 21.69, 21.69, 21.68]",T,"[14, 18, 21]","[18, 25, 23, 20, 21]",F,F,3.0,"[4, 3, 2]","[3, 3, 3, 3, 2]",0.0,"[0, 0, 0]","[0, 0, 0, 0, 0]","[29018, 47329, 60870]","[5938, 14922, 10816, 13565, 21567]","[5075, 10154, 12572]","[2990, 3629, 3064, 3353, 2526]","[3959, 6794, 9142]","[1720, 2683, 2182, 2365, 1912]","[17, 21, 20]","[50, 24, 28, 24, 11]","[13, 14, 15]","[28, 17, 20, 17, 8]","[400, 500, 600]",[],"[2, 2, 2]",[],"[9, 7, 6]",[],"[828, 1090, 903]","[1090, 1014, 926, 931, 903]","[2, 7, 7]","[7, 9, 9, 7, 7]","[5947, 7109, 8734]","[7109, 7499, 7987, 8406, 8734]","[4130, 6143, 8383]","[1125, 2542, 2026, 2106, 1709]","[30884, 36697, 45679]","[36697, 38777, 41589, 43837, 45679]"
A047040,대우건설,1227098,6460,9440,5300,8405.0,7370.0,6335.0,68.43,121.89,76.86,101.97,101.97,6343,101.84,6177,104.58,"[6750.0, 6780.0, 6440.0, 6330.0, 6240.0, 6070.0, 6220.0, 6180.0, 6240.0, 6170.0, 6010.0, 6120.0, 6090.0, 6320.0, 6540.0, 6410.0, 6440.0, 6510.0, 6550.0, 6460.0]",10.98,T,11.21,97.95,"[11.54, 11.54, 11.45, 11.34, 11.27, 11.29, 11.27, 11.27, 11.25, 11.15, 11.15, 11.18, 11.15, 11.13, 11.11, 11.08, 11.07, 11.04, 10.98, 11.0]",T,"[16, 16]","[13, 16, 16, 16, 16]",F,F,4.0,"[4, 4]","[7, 7, 5, 4, 5, 20]",0.0,"[0, 0]","[0, 1, 0, 0, 0]","[86519, 81367, 86852, 98207]","[19390, 22074, 21001, 24387, 22495, 24222]","[3641, 5583, 7383, 8136]","[2294, 1923, 1123, 2044, 2213, 1930]","[2012, 2826, 4849, 5723]","[1479, 1390, 894, 1086, 1736, 1272]","[8, 8]","[11, 8, 5, 8, 9, 7]","[5, 5]","[7, 6, 4, 4, 7, 5]",[32],[],[],[],[],[],[225],"[243, 244, 222, 225, 213]",[94],"[94, 88, 108, 94, 85]",[73],"[57, 64, 68, 73, 81]","[502, 683, 1166, 1376]","[356, 335, 215, 261, 417, 321]","[5984, 6509, 7817, 9247]","[6961, 7282, 7576, 7817, 8247]"
A084010,대한제강,59367,20300,26600,13500,23325.0,20050.0,16775.0,76.32,150.37,87.03,121.01,121.01,20237,100.31,19787,102.59,"[22150.0, 21450.0, 20700.0, 20450.0, 20050.0, 20000.0, 20350.0, 20400.0, 20500.0, 19800.0, 19700.0, 20150.0, 19600.0, 19400.0, 19500.0, 19750.0, 20100.0, 20100.0, 20300.0, 20300.0]",9.41,T,9.3,101.18,"[9.45, 9.42, 9.34, 9.33, 9.3, 9.28, 9.26, 9.2, 9.21, 9.1, 9.15, 9.2, 9.19, 9.23, 9.29, 9.39, 9.44, 9.43, 9.41, 9.46]",T,"[6, 10, 24, 21]","[12, 17, 15, 24, 28]",F,F,3.5,"[4, 5, 2, 3]","[6, 6, 5, 2, 3, 10]",0.0,"[0, 0, 0, 0]","[0, 0, 0, 0, 0]","[10217, 10961, 20303, 24795]","[3585, 5200, 5389, 6130, 5698, 6534]","[420, 818, 2018, 2251]","[132, 674, 661, 551, 534, 659]","[296, 531, 1637, 1748]","[228, 563, 519, 326, 425, 501]","[4, 7, 9, 9]","[3, 12, 12, 8, 9, 10]","[2, 4, 8, 7]","[6, 10, 9, 5, 7, 7]","[200, 300, 400, 475]",[],"[3, 2, 2]",[],"[14, 13, 6]",[],"[37, 72, 71]","[70, 57, 56, 71, 71]","[115, 71, 83]","[89, 100, 103, 83, 85]","[1872, 2047, 2601]","[2105, 2296, 2479, 2601, 2722]","[1223, 1977, 5744, 6424]","[838, 1867, 1816, 1222, 1560, 1935]","[20463, 22927, 30114, 43120]","[23668, 25836, 28701, 30114, 33215]"
A298540,더네이쳐홀딩스,36604,30150,40700,26400,37125.0,33550.0,29975.0,74.08,114.2,81.21,100.58,100.58,31780,94.87,30675,98.29,"[33150.0, 32550.0, 31800.0, 32150.0, 33250.0, 32300.0, 33500.0, 34700.0, 32600.0, 31700.0, 31750.0, 31650.0, 31400.0, 31050.0, 30700.0, 30300.0, 30600.0, 30050.0, 30250.0, 30150.0]",13.34,T,13.66,97.66,"[13.75, 13.7, 13.67, 13.68, 13.75, 13.68, 13.68, 13.84, 13.72, 13.72, 13.92, 13.85, 13.79, 13.74, 13.57, 13.54, 13.51, 13.36, 13.34, 13.35]",T,"[32, 30, 26]","[30, 29, 25, 30, 32]",F,F,6.0,"[6, 7, 6]","[9, 13, 10, 7, 7, 48]",1.0,"[1, 1, 1]","[2, 3, 2, 1, 2]","[2353, 2932, 3703, 4489]","[652, 596, 522, 1934, 923, 707]","[398, 545, 689, 848]","[95, 94, 31, 469, 149, 117]","[161, 383, 583, 680]","[75, 70, 42, 396, 134]","[18, 18, 18]","[14, 15, 5, 24, 16, 16]","[13, 15, 15]","[11, 11, 8, 20, 14]","[200, 200, 250]",[],"[1, 0]",[],"[7, 4]",[],"[57, 71]","[55, 44, 84, 71, 60]","[190, 100]","[156, 143, 67, 100, 65]","[4366, 2894]","[4527, 4719, 2366, 2894, 3038]","[1498, 2878, 4009, 4665]","[514, 481, 290, 2724, 922, 629]","[6100, 11233, 15132, 19698]","[11648, 12145, 12454, 15132, 15890]"
