NM,NEWS
BGF리테일,창녕군은 지난달 28일 BGF리테일과 농산물 소비촉진을 위한 유통확대 업무협약을 체결했다. BGF리테일은 전국 편의점 프렌차이즈 CU를 운영하는 종합유통서비스 기업이다. 이번 협약을 통해 3월 초 창녕마늘을 활용한 햄...
BGF리테일,"좌측부터 BGF 리테일 진영호 본부장, 이장식 포항시 부시장, 배영흥 포항시농업인단체협의회장 포항시가 BGF리테일·포항시농업인단체협의회와 지역농산물 판로 확대를 위한 업무협약을 지난 4일 체결했다. 이번 업무..."
BGF리테일,"신세계·롯데·코오롱FnC·GS리테일·BGF리테일, 이재민에 필요한 생필품 지원 유통업계가 경북 울진과 강원 삼척 지역에서 산불로 피해를 본 이재민들에게 생필품을 긴급 지원하고 있다. 7일 신세계그룹에 따르면 이마트는..."
BGF리테일,"반면 같은 업계이자 경쟁사로 언급되는 BGF리테일은 실적이 개선됐다. BGF리테일의 지난해 연간 기준 매출은 6조7812억 원, 영업이익은 1994억 원을 기록했다. 매출과 영업이익은 각각 9.7% 22.9% 늘어났다. ◆ 합병 시너지..."
BGF리테일,"이베스트투자증권은 28일 BGF리테일에 대해 올해 리오프닝이 본격화한다면 2, 3분기 성수기 효과를 누릴 수 있을 것이라며 투자의견 '매수', 목표주가 20만6000원을 유지했다. 오린아 이베스트투자증권 연구원은 ""2022년..."
BGF리테일,BGF리테일은 산불피해가 발생한 울진에 CU 이동형 편의점을 보내 식음료를 무상 지원했다. 사진 BGF리테일 제공 풀무원샘물은 산불 피해를 입은 경상북도 울진군 현장지원센터에 샘물 500ml 약 1만병을 직접 전달할...
BGF리테일,전남 진도군과 BGF리테일은 최근 진도 청정 농산물의 홍보와 소비 촉진을 위한 업무 협약을 체결했다고 6일 밝혔다. 국내 1위 편의점 브랜드 CU를 운영하는 BGF리테일은 이번 협약을 통해 진도 대파를 활용한 간편식 ‘진도...
BGF리테일,"15일 관련 업계에 따르면 BGF리테일은 오는 29일 예정된 정기 주주총회에서 고속도로 휴게소 및 전기 충전소 등을 포함한 주유소의 건설, 관리, 운영, 임대 관련 제반을 사업 목적에 추가하는 안건을 처리할 예정이다...."
BGF리테일,"CU를 운영하는 BGF리테일은 국가 재난 긴급 구호 활동인 'BGF브릿지'를 가동했다. BGF리테일은 BGF로지스 대구센터·칠곡센터를 통해 빵과 음료수, 생수, 컵라면 등 3000명분의 식음료를 피해 현장으로 배송했다. 지원..."
BGF리테일,"6일 증권가에 따르면 오미크론 변이 확산세가 정점에 달하는 등 엔데믹의 초입이 점차 가까워지고 있다는 전망이 나오면서 BGF리테일과 현대백화점, 호텔신라 등의 종목이 급부상하고 있다. 일상생활로 복귀하게 되면..."
BGF리테일,"성금은 이재민에 대한 생필품 지원과 대피시설 운영, 피해 복구 활동 등에 쓰인다.편의점 CU를 운영하는 BGF리테일은 행정안전부·전국재해구호협회와 함께 구축한 국가 재난 긴급 구호 활동인 ‘BGF브릿지’를..."
BGF리테일,CU를 운영하고 있는 BGF리테일은 지난 6일 대형 산불이 발생한 경북 울진에 이재민 및 소방 인력들을 위한 긴급 구호물품을 지원했다. ▲BGF리테일 관계자들이 긴급 구호물품을 나르고 있다. 행정안전부...
BGF리테일,종합 콘텐츠 스튜디오 플레이리스트가 2월 16일 국내 편의점 업계 1위 CU를 운영하는 BGF리테일과 공동 콘텐츠 제작을 위한 업무 협약을 체결했다. 이번 업무 협약식은 플레이리스트 박태원 대표와 BGF리테일 송지택...
BGF리테일,"BGF리테일은 코로나19로 주춤했다 지난해 다시 반등했다. 업황이 어려울 때 평년 수준의 신규 출점을 유지하는 등 본업에 집중한 결과다. ◇CU로 간판 교체…""브레이크 없는 출점"" BGF리테일이 편의점..."
BGF리테일,업계 투톱 경쟁자로 꼽히는 BGF리테일(282330)이 지난해 편의점 부문에서만 성장률이 12%에 달한다는 것에 비춰보면 다소 열위한 회복세가 나타나고 있다는 평가다. 캐시카우로 꼽혀왔던 홈쇼핑 부문 역시 지난해 매출액...
BGF리테일,"포항시와 BGF리테일, 포항시농업인단체협의회는 4일 지역농산물 판로 확대를 위한 업무협약을 체결했다. 업무 협약을 통해 전국 1만5천여 개 CU편의점을 보유하고 있는 BGF리테일에서 포항 지역 농산물이 들어간 간편식을..."
BGF리테일,"◆ BGF리테일, 울진 산불 피해 현장에 긴급 구호물품 지원 우선, CU를 운영하고 있는 BGF리테일이 대형 산불이 발생한 경북 울진에 이재민 및 소방 인력들을 위한 긴급 구호물품을 지원했다. 지난 4일 오전 경북 울진군..."
DB하이텍1우,"DB하이텍·DB하이텍1우 주가가 강세다. 22일 오전 11시 37분 기준 DB하이텍은 전일대비 5.52% 오른 7만 6400원에, DB하에텍1우는 8.96% 오른 11만 5500원에 거래되고 있다. 지난 16일 신한금융투자는 DB하이텍이 올해..."
DB하이텍1우,DB하이텍1우 주식의 거래가 13일 하루 동안 정지된다. 투자경고종목으로 지정된 뒤 주가가 2일 동안 40% 이상 올랐기 때문이다. 한국거래소 로고. 한국거래소 시장감시위원회는 DB하이텍1우 매매거래를 15일 하루 동안...
DB하이텍1우,"DB하이텍1우는 전 거래일 하락(▼1,000, -1.72%)에서 오늘 현재 상한가로 반전 했다. DB하이텍1우의 총 상장 주식수는 11만2316주이며, 이시간 현재 거래량은 1만6089주, 거래대금은 11억6711만5000..."
DB하이텍1우,"DB하이텍1우는 전 거래일 상승(▲1,250, +2.84%)에 이어 오늘 현재 상한가를 기록 중이다. DB하이텍1우의 총 상장 주식수는 11만2316주이며, 이시간 현재 거래량은 1만877주, 거래대금은 6억2216만4400..."
DB하이텍1우,"이시간 포털 및 증권 커뮤니티에서 DB하이텍1우에 대한 게시물이 급증하고 있는 가운데, 18일 오전 11시 30분 현재 DB하이텍1우의 주가는 전일보다 19.17% 오른 8만 5800원이고 거래량은 1만 8017주로 5일 평균..."
DB하이텍1우,"DB하이텍1우(000995)가 상승폭을 확대하고 있다. 전일 대비 12.15% 상승한 88,600원에 거래되고... 날짜주가등락률06월 30일79,000+12.06%06월 29일70,500+3.68%06월 26일68,000+3.03%06월 25일66,000+1.69%06월 24일64,900..."
DB하이텍1우,"DB하이텍1우(000995)는 현재 주가가 전일 대비 14.89% 상승한 81,000원 선에서 거래가 이루어지고 있다. 상장주식수 대비 거래량은 0.52%로 적정수준 최근 한달간 DB하이텍1의 상장주식수 대비 거래량을 비교해보니..."
DB하이텍1우,"DB하이텍1우(000995)가 상승폭을 확대하고 있다. 전일 대비 27.38% 상승한 89,800원에 거래되고... 날짜주가등락률06월 29일70,500+3.68%06월 26일68,000+3.03%06월 25일66,000+1.69%06월 24일64,900+11.90%06월 23일58,000..."
DB하이텍1우,"현재 DB하이텍1우(000995)는 전일대비 11.39% 상승하여 88,000원 선에서 거래가 이루어지고 있다. 상장주식수 대비 거래량은 0.52%로 적정수준 최근 한달간 DB하이텍1의 상장주식수 대비 거래량을 비교해보니 일별..."
DB하이텍1우,"DB하이텍1우(000995)가 상승폭을 확대하고 있다. 전일 대비 5.45% 상승한 69,600원에 거래되고... 날짜주가등락률06월 25일66,000+1.69%06월 24일64,900+11.90%06월 23일58,000-1.69%06월 22일59,000-10.33%06월 19일65,800..."
DB하이텍1우,"DB하이텍1우(000995)가 상승폭을 확대하고 있다. 전일 대비 6.93% 상승한 69,400원에 거래되고... 날짜주가등락률06월 24일64,900+11.90%06월 23일58,000-1.69%06월 22일59,000-10.33%06월 19일65,800-28.79%06월 18일92,400..."
DB하이텍1우,"DB하이텍1우(000995)가 상승폭을 확대하고 있다. 전일 대비 18.97% 상승한 69,000원에 거래되고... 날짜주가등락률06월 23일58,000-1.69%06월 22일59,000-10.33%06월 19일65,800-28.79%06월 18일92,400+28.33%06월 17일72..."
DB하이텍1우,"DB하이텍1우(000995)는 현재 주가가 전일 대비 10.48% 상승한 71,700원 선에서 거래가 이루어지고 있다. 상장주식수 대비 거래량은 0.52%로 적정수준 최근 한달간 DB하이텍1의 상장주식수 대비 거래량을 비교해보니..."
DB하이텍1우,"DB하이텍1우(000995)가 VI가 발동했다. 전일 대비 10.33% 하락한 59,000원에 거래되고 있다.... 76%06월 15일58,000-1.86% [이 기사는 증권플러스(두나무)가 자체 개발한 로봇 기자인 'C-Biz봇'이 실시간으로..."
DB하이텍1우,"DB하이텍1우(000995)가 VI가 발동했다. 전일 대비 2.16% 하락한 90,400원에 거래되고 있다.... 날짜주가등락률06월 18일92,400+28.33%06월 17일72,000+20.81%06월 16일59,600+2.76%06월 15일58,000-1.86%06월 12일59,100+2.78..."
DB하이텍1우,"DB하이텍1우(000995)가 VI가 발동했다. 전일 대비 7.36% 상승한 77,300원에 거래되고 있다.... 날짜주가등락률06월 17일72,000+20.81%06월 16일59,600+2.76%06월 15일58,000-1.86%06월 12일59,100+2.78%06월 11일57,500-6.96..."
DB하이텍1우,"DB하이텍1우(000995)가 상승폭을 확대하고 있다. 전일 대비 10.74% 상승한 66,000원에 거래되고... 날짜주가등락률06월 16일59,600+2.76%06월 15일58,000-1.86%06월 12일59,100+2.78%06월 11일57,500-6.96%06월 10일61,800..."
DB하이텍1우,"DB하이텍1우(000995)가 상승폭을 확대하고 있다. 전일 대비 2.54% 상승한 60,600원에 거래되고 있다. DB하이텍1우의 최근 1주일간 외국인/기관 매매내역을 살펴보면 외국인, 기관 모두 특별한 동향을..."
DB하이텍1우,"DB하이텍1우(000995)가 상승폭을 확대하고 있다. 전일 대비 6.97% 상승한 61,400원에 거래되고 있다. DB하이텍1우의 최근 1주일간 외국인/기관 매매내역을 살펴보면 외국인, 기관 모두 특별한 동향을..."
DB하이텍1우,"DB하이텍1우(000995)가 VI가 발동했다. 전일 대비 15.35% 상승한 58,600원에 거래되고 있다.... 날짜주가등락률06월 05일50,800+0.20%06월 04일50,700+4.00%06월 03일48,750+0.31%06월 02일48,600+1.67%06월 01일47,800+3.35..."
DB하이텍1우,"DB하이텍1우(000995)는 현재 주가가 전일 대비 12.96% 상승한 64,500원 선에서 거래가 이루어지고 있다. 상장주식수 대비 거래량은 0.52%로 적정수준 최근 한달간 DB하이텍1의 상장주식수 대비 거래량을 비교해보니..."
DB하이텍1우,"현재 DB하이텍1우(000995)는 전일대비 8.07% 상승하여 54,900원 선에서 거래가 이루어지고 있다. 개인투자자의 매매가 가장 활발 최근 한달간 주체별 거래비중을 살펴보면 개인이 95.49%, 기관이 0.08%, 외국인은 0.01..."
DB하이텍1우,"DB하이텍1우(000995)가 상승폭을 확대하고 있다. 전일 대비 19.45% 상승한 52,200원에 거래되고... 날짜주가등락률05월 22일43,700-2.13%05월 21일44,650-1.87%05월 20일45,500+0.89%05월 19일45,100-2.28%05월 18일46,150+4...."
DB하이텍1우,"DB하이텍1우의 영업일기준 지난 일주일간의 종가는 다음과 같다. 1일전 종가는 42,600원, 등락률은 2.77%2일전 종가는 41,450원, 등락률은 -5.90%3일전 종가는 44,050원, 등락률은 -1.89%4일전 종가는 44,900원..."
DB하이텍1우,"전일 대비 1.32% 상승한 46,100원에 거래되고 있다. DB하이텍1우의 최근 1주일간 외국인/기관 매매내역을 살펴보면 외국인은 30주를 순매수했으며, 기관은 특별한 동향을 보이지 않았다. 같은..."
DB하이텍1우,"DB하이텍1우(000995)가 상승폭을 확대하고 있다. 전일 대비 30.00% 상승한 57,200원에 거래되고... 날짜주가등락률05월 15일44,000+2.92%05월 14일42,750+0.35%05월 13일42,600-2.18%05월 12일43,550-1.36%05월 11일44,150..."
DB하이텍1우,"▲생활주가정보 DB하이텍1우 흐름▲DB하이텍1우 지난 한달간 흐름 ●차트 분석 지금 시간(9시16분) 차트를 분석해보면 단기적으로 보합 하며, 전일대비 0만큼 보합한 모습을 보여주고 있다...."
DB하이텍1우,"▲생활주가정보 DB하이텍1우 흐름▲DB하이텍1우 지난 한달간 흐름 ●차트 분석 9시16분 차트를 분석해보면 단기적으로 상승 하며, 전일대비 400만큼 상승한 모습을 보여주고 있다. ●DB하이텍1우..."
DB하이텍1우,▲생활주가정보 DB하이텍1우 흐름▲DB하이텍1우 지난 한달간 흐름 ●차트 분석 지금 시간(13시12분) 차트를 분석해보면 단기적으로 하락 세를 나타내고 있으며 전일대비 -100만큼 하락한 모습을...
DB하이텍1우,거래량은 28주로 전거래일 대비 1.08% 수준이다. 이는 전체 주식수의 0.02%에 해당하는 물량이다. [그래프]DB하이텍1우 일봉 차트 이 기사는 뉴스핌과 금융 AI 전문기업 씽크풀이 공동 개발한 기사 자동생성...
DB하이텍1우,▲생활주가정보 DB하이텍1우 흐름▲DB하이텍1우 지난 한달간 흐름 ●시황그래프 분석 지금 차트를 분석해보면 단기적으로 상승 세를 나타내고 있으며 전일대비 500만큼 상승한 모습을 나타내고있다....
DB하이텍1우,"DB하이텍1우의 등락률은 전일에는 1.77%의 등락률을 보였으나 오늘은 0.00% 변화한 48,850원을 보이고 있다. DB하이텍1우의 올해 250 최고가는 99,000원이며 250최저는 29,900원이다.●최근 DB하이텍1우의 4일..."
