jongmok_cd,jongmok_nm,deal_dt,buy_amount,sell_amount,forgn_amount,forgn_poss_rt,end_price,급등률,종가,거래량,외국인비율,_merge
112190,KC산업,2021-05-12,52297.0,44888.0,2586.0,0.0,0.0,,,,,left_only
179530,애드바이오텍,2021-05-12,10346.0,9206.0,1036.0,0.0,0.0,,,,,left_only
208850,이비테크,2021-05-12,408.0,368.0,0.0,0.0,0.0,,,,,left_only
227420,도부마스크,2021-05-12,44644.0,43682.0,2455.0,0.0,0.0,,,,,left_only
244880,나눔테크,2021-05-12,5885.0,5847.0,80.0,0.0,0.0,,,,,left_only
257990,나우코스,2021-05-12,3126.0,2744.0,104.0,0.0,0.0,,,,,left_only
343090,단디바이오,2021-05-12,138099.0,134042.0,-6070.0,0.0,0.0,,,,,left_only
000950,전방,2021-05-12,10275.0,8302.0,-1378.0,0.86,40600.0,,,,,left_only
072020,중앙백신,2021-05-12,507912.0,493048.0,-173.0,1.83,17850.0,,,,,left_only
018470,조일알미늄,2021-05-12,67613102.0,64374627.0,-244523.0,1.98,1085.0,,,,,left_only
067900,와이엔텍,2021-05-12,428215.0,376816.0,-23269.0,2.37,16600.0,,,,,left_only
080530,코디,2021-05-12,418598.0,358809.0,10766.0,2.39,2060.0,,,,,left_only
077360,덕산하이메탈,2021-05-12,557600.0,475310.0,15297.0,2.98,12150.0,,,,,left_only
065440,이루온,2021-05-12,40157157.0,38535943.0,-677773.0,3.31,2205.0,,,,,left_only
045060,오공,2021-05-12,514071.0,408446.0,54250.0,3.69,5030.0,,,,,left_only
083450,GST,2021-05-12,562589.0,495946.0,6925.0,4.01,23750.0,,,,,left_only
050860,아세아텍,2021-05-12,2043251.0,1909989.0,-77079.0,4.99,3850.0,,,,,left_only
089010,켐트로닉스,2021-05-12,536316.0,472879.0,2839.0,5.32,26400.0,,,,,left_only
160980,싸이맥스,2021-05-12,507234.0,419589.0,-7943.0,5.79,22600.0,,,,,left_only
042700,한미반도체,2021-05-12,2671201.0,2315862.0,67563.0,6.05,31700.0,,,,,left_only
241840,에이스토리,2021-05-12,355140.0,290305.0,-26610.0,7.65,33000.0,,,,,left_only
014830,유니드,2021-05-12,155988.0,132871.0,-8348.0,15.05,80000.0,,,,,left_only
039840,디오,2021-05-12,230119.0,197159.0,2446.0,19.65,37400.0,,,,,left_only
084370,유진테크,2021-05-12,498073.0,351882.0,-48350.0,20.54,46800.0,,,,,left_only
010130,고려아연,2021-05-12,275147.0,219292.0,11142.0,22.12,478500.0,,,,,left_only
025540,한국단자,2021-05-12,148575.0,112580.0,29091.0,25.65,79800.0,,,,,left_only
090430,아모레퍼시픽,2021-05-12,621913.0,516061.0,143637.0,34.03,292500.0,,,,,left_only
,STX엔진,,,,,,,813.86,17000.0,2707060.0,0.1,right_only
,에이리츠,,,,,,,436.46,15900.0,1569863.0,1.51,right_only
,인바디,,,,,,,368.03,26000.0,694314.0,22.33,right_only
,소프트센우,,,,,,,311.68,42500.0,24223.0,0.52,right_only
