종목명,종가,거래량,급등률,외국인비율,구분
중앙백신,17850,,,1.83,left_only
조일알미늄,1085,,,1.98,left_only
와이엔텍,16600,,,2.37,left_only
코디,2060,,,2.39,left_only
덕산하이메탈,12150,,,2.98,left_only
이루온,2205,,,3.31,left_only
오공,5030,,,3.69,left_only
GST,23750,,,4.01,left_only
아세아텍,3850,,,4.99,left_only
켐트로닉스,26400,,,5.32,left_only
싸이맥스,22600,,,5.79,left_only
STX엔진,17000,2707060.0,813.86,0.1,right_only
에이리츠,15900,1569863.0,436.46,1.51,right_only
인바디,26000,694314.0,368.03,22.33,right_only
