DT,CD,NM,FRGN_RT,END_PRC,VOL,PRC_AVG_5,PRC_VOL_5,PRC_AVG_10,PRC_VOL_10,PRC_MEDIAN,VOL_MEDIAN
2022-03-18,A195870,해성디에스,6.46,49550,82249,47670,187529,48545,186247,48450,174772
2022-03-18,A004565,현대비앤지스틸우,0.59,68500,1017,68580,3378,71100,9003,70500,3788
2022-03-18,A004560,현대비앤지스틸,4.21,16800,215902,17020,340561,17355,763234,17250,377281
2022-03-18,A004800,효성,7.39,84500,27068,84060,30410,84260,32776,84350,32236
2022-03-18,A094280,효성ITX,0.44,17850,26802,17350,26564,17125,18259,16925,14406
2022-03-18,A298050,효성첨단소재,7.73,496000,24086,489500,29433,492250,33318,492750,34457
2022-03-18,A298020,효성티앤씨,12.04,473000,48707,475800,37865,479800,36926,480750,36263
2022-03-18,A298000,효성화학,7.29,261500,23289,263100,13084,266450,13957,266250,12182
2022-03-18,A081660,휠라홀딩스,41.54,33600,281147,33310,320038,33770,397352,33750,372542
2022-03-18,A205470,휴마시스,5.28,19550,1425561,18800,4404264,18800,2966326,18900,1762194
2022-03-18,A243070,휴온스,21.93,47700,48817,47870,20341,48005,21973,48100,16036
